סוּס|horse
מֶ֫לֶךְ|king
תּוֹרָה|law
זָהָב|gold
יְרוּשָׁלִַ֫ם|Jerusalem
מַלְכָּה|queen
שֹׁפְטִים|judges
כֶּ֫סֶף|silver; money
הֵיכָל|palace; temple
שָׂדֶה|field
גָּדוֹל|big
חָכְמָה|wisdom
רְחוֹב|city square
מִשְׁתֶּה|banquet
שֻׁלְחָן|table
מְאֹד|very
מִשְׁפָּחָה|family
אִשָּׁה|woman; wife
בֵּן|son
גְּמַלִּים|camels
אַיֵּה|where
וְ-|and
הַר|mountain
בְּ-|in
אֶ֫רֶץ|land; earth; ground
כְּנַ֫עַן|Canaan
שָׁם|there
עִיר|city
אֵ֫צֶל|near; next to
אִישׁ|man
תּוֹךְ|middle of; inside of
יֹשֵׁב|sitting
עַל־|on
כִּסֵּא|throne
קָטֹן|small
וַיֹּ֫אמֶר|and he said
הִנֵּה|look, behold
אֲנִי|I
צֶ֫דֶק|justice
הַ-|the
וַיְהִי|and there was; and he was
רֹאשׁ|head
חֹ֫דֶשׁ|month
חָכָם|wise man
מְרַגְּלִים|spies
עַם|nation
גַּן|garden
כָּל־|all; every
אֱלֹהִים|God
שָׁמַ֫יִם|sky; heavens
אוֹר|light
עֶ֫רֶב|evening
בֹּ֫קֶר|morning
אֶחָד|one
מַ֫יִם|water
רָקִיעַ|firmament, vault
דֶּ֫שֶׁא|grass
שֵׁנִי|second
שְׁלִישִׁי|third
תֹּ֫הוּ וָבֹ֫הוּ|formlessness and void
לֶ֫חֶם|bread; food
בָּשָׂר|meat; flesh
שֶׁ֫מֶן|oil
דְּבַשׁ|honey
פְּרִי|fruit
יַ֫יִן|wine
עֶ֫בֶד|servant; slave
אֶל־|to
עִם־|with
אֹכֵל|eating
שָׂמֵחַ|happy
רָעֵב|hungry
אֹ֫כֶל|food
יְהוָה|the LORD
אֳנִיָּה|ship
אֱמֶת|truth
יְהוּדָה|Judah
שְׁלֹמֹה|Solomon
בָּקָר|herd (cattle)
עַד־|until
אֶת־|with
מִן־|from
לְ-|to; for
בְּ-|in; at; with
כְּ-|as; like
מִטָּה|bed; couch
שָׁלוֹם|peace
רְבִיעִי|fourth
שֶׁ֫רֶץ|creeping creature(s)
חֲמִישִׁי|fifth
אָדָם|human; man; Adam
שְׂבֵעִים|full, sated (mp)
בַּ֫יִת (m)|house
בַּת|daughter
דָּבָר|word; thing; matter
שָׁנָה|year
כֹּהֵן|priest
אֵם (f)|mother
אָתוֹן|female donkey
אָתוֹן (f)|female donkey
אוֹי לִי|woe is me!
גָּמָל|camel
וַיֵּשְׁבוּ|and they sat
וַיָּבֹ֫אוּ|and they came
זַ֫יִת (m)|olive
חֹק|statute
טוֹב|good
יָד (f)|hand
יוֹם|day
כֶּ֫רֶם|vineyard
לֵב|heart
לַ֫יְלָה (m)|night
לֹא|not
מִצְרַיִם|Egypt
מַטְעַמִּים|delicacies (p)
מָ֫וֶת (m)|death
נְחֹ֫שֶׁת|bronze
סוּסָה|mare
סֹפֵר|scribe
עֵ֫דֶן|Eden
עָפָר|dust
עוֹד|again
צֵ֫לָע (f)|rib
צֹאן|flock (sheep and goats)
קֹ֫דֶשׁ|holiness
רֶ֫גֶל (f)|foot; leg
תַּרְדֵּמָה|deep sleep
שִׁפְחָה|maidservant, slavegirl
הָבוּ|bring (p)
אֶת־|definite direct object marker
כְּלִי|vessel
כִּי|because; that; indeed
ח.פ.ץ.|want
א.מ.ר.|say
לֹא|no; not
י.ד.ע.|know
גּ.נ.ב.|steal
אֲשֶׁר|who; which
הֵ֫מָּה|they (m)
עַתָּה|now
מִלְחָמָה|war
א.ה.ב.|like; love
שׁ.א.ל.|ask
נ.ת.ן.|give
כַּאֲשֶׁר|if; when; as
ל.ק.ח.|take; bring
י.שׁ.ב.|sit; live
נָחָשׁ|serpent
עָרוּם|cunning
הָיָה|(he) was
עֵץ|tree
אָרוּר|cursed
אַתָּה|you (ms)
כּוּשׁ|Ethiopia
שׂ.ר.ף.|burn
אֵשׁ (f)|fire
אֱדוֹם|Edom
ל.כ.ד.|capture
מ.ל.ךְ.|rule
דּ.ר.שׁ.|seek
וַיֹּאמְרוּ|and they (m) said
וַתֹּאמַ֫רְנָה|and they (f) said
כּ.ת.ב.|write
ז.ב.ח.|sacrifice
שׁ.כ.ח.|forget
ז.כ.ר.|remember
שׁ.מ.ר.|guard; keep
רֹעֵה צֹאן|shepherd
עֹבֵד|worker
אֲדָמָה|ground; soil
מִנְחָה|offering
הוּא|he
וַיָּ֫קָם|and he rose up
הֶ֫בֶל|Abel
קַ֫יִן|Cain
אַחֲרֵי|after
בּ.ר.ח.|flee
וַיַּרְא|and he saw
עֵז (f)|female goat
אֹכְלָה|eating (fs)
א.ב.ד.|go missing; perish
פּ.ק.ד.|visit; take notice of
א.כ.ל.|eat
אֹתָם|them
ס.ל.ח.|forgive
כּ.ר.ת.|cut; make (a covenant)
בְּרִית|covenant
ה.י.ה.|be
גּ.ב.ר.|increase
אַרְבָּעִים|forty
שְׁנַ֫יִם|two
תֵּבָה|ark
קֵץ|end
נֹחַ|Noah
מַבּוּל|flood
מַתָּנָה|gift
רַב|great; many (p)
מָתוֹק|sweet
אֶ֫בֶן (f)|stone
יָקָר|precious
עֻגָה|cake; flatbread
בֶּ֫גֶד|garment
יָפָה|beautiful; handsome
חָזָק|strong
יֹאכְלוּ|they (m) eat, will eat, etc.
תֹּאכַ֫לְנָה|they (f) eat, will eat, etc.
אַחֵר|other
רַע|bad; evil
חַיָּה|animal; beast
בְּהֵמָה|beast
ח.ר.ב.|dry up
לֵאמֹר|saying; as follows
רֶ֫מֶשׂ|creeping creature(s)
עוֹף|bird
י.צ.א.|go out
רָשָׁע|evil, wicked
לָ֫מָּה|why
ק.צ.ף.|become angry
עַד|until
עַד־מְאֹד|greatly, very much
שָׂפָה|language
מ.צ.א.|find
בִּקְעָה|valley; plain
הָ֫בָה|come on; let's
מִגְדָּל|tower
הֵן|look; behold
עַל־כֵּן|therefore
בּ.ל.ל.|confuse
בָּבֶל|Babel; Babylon
שִׁנְעָר|Shinar
הָאֵ֫לֶּה|these (adjective)
דֶּ֫רֶךְ (c)|road; way
הַהוּא|that (m adjective)
זֶה|this (m pronoun)
וַיֹּאכַל|and he ate
הַזֶּה|this (m adjective)
בּ.ז.ז.|plunder
זֹאת|this (f pronoun)
שׂ.נ.א.|hate
הֵם|those (m pronoun)
הֵ֫מָּה|those (m pronoun)
הַהִיא|that (f adjective)
הָהֵ֫מָּה|those (m adjective)
הָהֵ֫נָּה|those (f adjective)
הוּא|that (m pronoun)
הִיא|that (f pronoun)
הֵ֫נָּה|those (f pronoun)
הֵן|those (f pronoun)
אַבְרָהָם|Abraham
שָׂרָה|Sarah
כַּאֲשֶׁר|as; like
י.ל.ד.|bear, give birth to
ק.ר.א.|call
יִצְחָק|Isaac
בְּאֵר (f)|well
יֶ֫לֶד|child; boy
יְפֵה־תֹ֫אַר|handsome (lit: handsome of form)
יְפֵה מַרְאֶה|good-looking (lit: handsome of appearance)
בֶּן מֶ֫לֶךְ|prince (lit: son of a king)
נֹפֵל|falling (ms)
אֶל־תּוֹךְ|into
מֵת|dead; dying
הוֹצִיא|(he) took out
מַלְאָךְ|angel; messenger
זָקֵן|elder; old man
אַחַר|after
עֹלָה|burnt offering
מַאֲכֶ֫לֶת|knife
שֶׂה|lamb
תֶּ֫בֶן|straw
חֶ֫מֶד|pleasantness
שׁוֹשַׁן|lily
מֶרְכָּבָה|chariot
מִשְׁכָּב|bed
שֵׁשׁ|linen
אוֹצָר|storehouse
אַרְגָּמָן|purple
אֵין|there isn't/aren't
יֵשׁ|there is/are
סֹחֵר|merchant
הֹלֵךְ|going (ms)
וַיֵּ֫לֶךְ|and he went
וַיִּקַּח|and he took
שִׂמְחָה|happiness; joy
מָקוֹם|place
שׁ.ל.ח.|send; stretch out
אַל־|don't!
יַ֫עַן אֲשֶׁר|because
מְחִיר|price
אַרְבַּע|four
מֵאָה|hundred
שֶׁ֫קֶל|shekel
עֶשְׂרִים|twenty
בַּ֫עַל|husband
גּ.ז.ל.|rob
שׁ.מ.ע.|hear; listen
מ.א.ס.|despise; reject
בִּגְלַל|on account of
צְדָקָה|justice
אָב|father
אָח|brother
פֶּה|mouth
שֵׁם|name
עֵשָׂו|Esau
נָא|please/untranslated
קֶ֫שֶׁת|bow
בַּעֲבוּר|so that
נֶ֫פֶשׁ (f)|soul
בְּטֶ֫רֶם|before
מ.ו.ת.|die
רִבְקָה|Rebecca
יַעֲקֹב|Jacob
גְּדִי|kid goat
ע.שׂ.ה.|do; make
תֶּלְי-|quiver-belt (always suffixed)
בּוֹגֵד|traitor
ק.ב.ץ.|gather
אֲנַ֫חְנוּ|we
אֲדָמָה|land; soil
שֹׁטֵר|officer
אֹתוֹ|him
בֵּית כֶּ֫לֶא|prison (lit: prison house)
מ.כ.ר.|sell
גִּבּוֹר|warrior
ק.ר.ע.|tear
אָֽנֹכִי|I
בּ.ו.א.|come
בְּכֹר|firstborn (son)
ח.ר.ד.|tremble
חֲרָדָה|fear; trembling
מִרְמָה|deceit
בְּרָכָה|blessing
שׂ.ט.ם|resent
שׁ.ל.ח.|send
שׂ.מ.ח.|rejoice; be happy
עַל־דְּבַר|because of
אַ֫רְצָה|to the land
מִצְרִי|Egyptian
הָעִ֫ירָה|to the city
אַתֶּם|you (mp)
שׁ.ת.ה.|drink
שָׁ֫מָּה|to there
וַיָּ֫שָׁב|and he returned
מִצְרַיְ֫מָה|to Egypt
ס.פ.ד.|lament; mourn
מִסְפֵּד|lament; mourning
קֶ֫צֶף|anger
אֹיֵב|enemy
הִיא|she
אַתְּ|you (fs)
הֵם|they (m)
הֵ֫נָּה|they (f)
אַתֵּ֫נָה|you (fp)
אַתֶּן|you (fp)
נַ֫חְנוּ|we (rare variant)
נֶ֫גֶב|Negeb
יְרוּשָׁלַ֫יְמָה|to Jerusalem
נֶ֫גְבָּה|to the Negeb
הָהָ֫רָה|to the mountain
הַבַּ֫יְתָה|homewards
נ.שׂ.א.|raise
קֶ֫דֶם|east
לָבָן|Laban
אַךְ|indeed
עֶ֫צֶם (c)|bone
לֵאָה|Leah
רָחֵל|Rachel
רַךְ|soft; week
שֶׁ֫בַע|seven
אַהֲבָה|love; loving
אֹתָהּ|her
צַדִּיק|righteous; righteous man
אוּלַי|maybe
רֵיק\רֵק|empty
עֵנָב|grape
ק.ר.א.|call; call out; read
קוֹל|voice
ל.ב.שׁ.|wear; put on (clothes)
שַׂק|sackcloth
מ.ל.א.|be filled/full
א.ס.ף.|gather
כֵּן|thus
צָעִיר|young
לִפְנֵי|before
בְּכִירָה|firstborn daughter
שְׁבֻעָה|oath
עֲבֹדָה|work
מוֹאָב|Moab
רָעָב|famine; hunger
מְדִינָה|country
רַק|only
גַּנָּב|thief
תַּ֫חַת|under; instead of
יִשְׂרָאֵל|Israel
יוֹסֵף|Joseph
כֻּתֹּ֫נֶת|robe; tunic
פַּסִּים|stripes
שְׁכֶם|Shechem
בּוֹר|pit
רֵק\רֵיק|empty
שׁ.ח.ט.|slaughter
שָׂעִיר|male goat
ט.ב.ל.|dip
שִׂמְלָה|clothing; garment
שׂ.י.ם.|put
מָתְנַ֫יִם|hips; waist
אֶחָד|one (m)
אַחַת|one (f)
שְׁנַ֫יִם|two (m)
שְׁתַּ֫יִם|two (f)
שְׁלֹשָׁה|three (m)
אַרְבָּעָה|four (m)
חֲמִשָּׁה|five (m)
שִׁשָּׁה|six (m)
שִׁבְעָה|seven (m)
שְׁמֹנָה|eight (m)
תִּשְׁעָה|nine (m)
עֲשָׂרָה|ten (m)
שָׁלֹשׁ|three (f)
אַרְבַּע|four (f)
חָמֵשׁ|five (f)
שֵׁשׁ|six (f)
שֶׁ֫בַע|seven (f)
שְׁמֹנֶה|eight (f)
תֵּ֫שַׁע|nine (f)
עֶ֫שֶׂר|ten (f)
אַחַד עָשָׂר|eleven (m)
עַשְׁתֵּי עָשָׂר|eleven (m)
שְׁנֵים עָשָׂר|twelve (m)
שְׁלֹשָׁה עָשָׂר|thirteen (m)
אַרְבָּעָה עָשָׂר|fourteen (m)
חֲמִשָּׁה עָשָׂר|fifteen (m)
שִׁשָּׁה עָשָׂר|sixteen (m)
שִׁבְעָה עָשָׂר|seventeen (m)
שְׁמֹנָה עָשָׂר|eighteen (m)
תִּשְׁעָה עָשָׂר|nineteen (m)
אַחַת עֶשְׂרֵה|eleven (f)
עַשְׁתֵּי עֶשְׂרֵה|eleven (f)
שְׁתֵּים עֶשְׂרֵה|twelve (f)
שְׁלֹשׁ עֶשְׂרֵה|thirteen (f)
אַרְבַּע עֶשְׂרֵה|fourteen (f)
חֲמֵשׁ עֶשְׂרֵה|fifteen (f)
שֵׁשׁ עֶשְׂרֵה|sixteen (f)
שְׁבַע עֶשְׂרֵה|seventeen (f)
שְׁמֹנֶה עֶשְׂרֵה|eighteen (f)
תְּשַׁע עֶשְׂרֵה|nineteen (f)
שְׁלֹשִׁים|thirty
חֲמִשִּׁים|fifty
שִׁשִּׁים|sixty
שִׁבְעִים|seventy
שְׁמֹנִים|eighty
תִּשְׁעִים|ninety
מֵאָה|one hundred
מָאתַ֫יִם|two hundred
אֶ֫לֶף|one thousand
אַלְפַּ֫יִם|two thousand
רְבָבָה|ten thousand
רִבֹּתַ֫יִם|twenty thousand
סָרִיס|official; eunuch
לֵךְ|go!
י.ר.ד.|go down
בּ.ח.ר.|choose
חֹר|hole
חוֹמָה|wall
מַה־לִּי וּלְ...|what does X have to do with me?
צָבָא|army
עֹמֵד|standing (ms)
פּ.ר.ץ.|break through
בָּזוּז|plundered
חָדָשׁ|new
עָצוּם|numerous
פֶּן־|lest
ר.ב.ה.|multiply
בְּפָ֫רֶךְ|with ruthlessness/violence
חַיִּים|life
קָשֶׁה|difficult
חֹ֫מֶר|clay; mortar
לְבֵנָה|brick
פַּרְעֹה|Pharaoh
יְאֹר|Nile
ס.ב.ב.|surround
מִקְדָּשׁ|temple
נ.פ.ל.|fall
לֵוִי|Levi
ה.ר.ה.|conceive
יֶ֫רַח|month
י.כ.ל.|be able
גֹּ֫מֶא|papyrus
סוּף|reed(s)
שָׂפָה|language; lip; bank of river
תֵּבָה|casket; chest; ark
נַעֲרָה|girl; maidservant
אָמָה|maidservant, slavegirl
פּ.ת.ח|open
בּ.כ.ה.|cry; weep
ח.מ.ל.|take pity
עִבְרִי|Hebrew
גּ.ד.ל.|grow up
מֹשֶׁה|Moses
נָא|please
ה.ל.ךְ.|go; walk
וַיֵּלְכוּ|and they went
ט.ע.ם.|taste
ר.א.ה.|see
ס.ג.ד.|bow down (in worship)
אַל|don't!
ר.ע.ה.|herd
יִתְרוֹ|Jethro
חֹתֵן|father-in-law
מִדְיָן|Midian
סְנֶה|bush
בּ.ע.ר.|burn
ס.ו.ר.|turn aside
מַרְאֶה|sight
מַדּוּעַ|why
ק.ר.ב.|be close; approach
הֲלֹם|to here
נ.שׁ.ל.|remove
עֳנִי|misery
רָחָב|spacious; wide
ז.ו.ב.|flow
חָלָב|milk
נַ֫עַל (f)|sandal; shoe
ע.ב.ד.|work; serve; worship
לְמַ֫עַן|in order (to), so that
ר.ד.ף.|chase, pursue
לְבִלְתִּי|not to
נ.ס.ע.|travel
י.ר.א.|fear
צ.ע.ק.|cry out; shout
יַבָּשָׁה|dry land
יָמִין|right
שְׂמֹאל|left
רֶ֫כֶב|chariot
פָּרָשׁ|horseman
שׁ.ו.ב.|return
חַ֫יִל|army; strength
נָבִיא|prophet
כֹּה|thus
שׂ.ח.ק.|laugh
יְהוֹשֻׁעַ|Joshua
חֶ֫רֶשׁ|quietly; secretly
יְרִיחוֹ|Jericho
זוֹנָה|prostitute
רָחָב|Rahab
