ἄνθρωπος, -ου, ὁ|a man (anthropology)
ἀπό|with the gen., from (apostasy, standing [στῆναι] off from)
αὐτός, -ή, -ό|himself, herself, itself, same; he, she, it (autosoterism, the doctrine that man is saved by his own efforts or character)
γάρ|for
γίνομαι|I become, am
δέ|but, and
διά|with the gen., through; with the acc., on account of (diameter, measure across or through)
ἐγώ|I (egotism)
εἰμί|I am
εἶπον|I said (cf. epic)
εἰς|with the acc., into (eisegesis, faulty interpretation of a text by reading into it one’s own ideas)
ἐκ, ἐξ|with the gen., out of, from (ecstasy, state of being [literally, standing, στῆνaι] out of one’s senses; exodus, a going [literally, a way, ὁδός] out)
ἐν|with the dat., in (enthusiast, one possessed or inspired by a god [ἔνθεος])
ἐπί|with the gen., over, on, at the time of; with the dat., on the basis of, at; with the acc., on, to, against (epidermis, upon the skin [δέρμα])
ἔρχομαι|I come, go
ἔχω|I have, hold
θεός, -οῦ, ὁ|a god, God (theology)
ἵva|in order that, that
καί|and, even, also
κατά|with the gen., down from, against; with the acc., according to, throughout, during (cataclysm, a washing down or against)
κύριος, -ου, ὁ|a lord, the Lord
λέγω|I say, speak (all words ending in -ologue or -ology)
μή|not, lest
ὁ, ἡ, τό|the
ὅς, ἥ, ὅ|who, which
ὅτι|that, because
οὗτος, αὕτη, τοῦτο|this; he, her, it
οὐ, οὐκ, οὐχ|not (utopia, no place [τόπος])
πᾶς, πᾶσα, πᾶν|every, all (Pan-American)
ποιέω|I do, make (poem; pharmacopoeia, making of drugs)
πρός|with the acc., to, towards, with (proselyte, one who has come [root of ἐλθεῖν] to another religion)
σύ|thou
τίς, τί|who? what? which? why?
τις, τι|someone, something, a certain one, a certain thing, anyone, anything
ὡς|as, that, how, about
ἅγιος, -α, -oν|holy; plural as a noun, saints (Hagiographa, books of the Hebrew Scriptures not included under Law and Prophets)
ἀδελϕός, -οῦ, ὁ|brother (Philadelphia, [city of] brotherly love [ϕιλία])
ἀκούω|I hear (acoustics)
ἀλλά|but, except
ἀνήρ, ἀνδρός, ὁ|a man (polyandry, having many husbands)
ἀποκρίνομαι|I answer
γῆ, γῆς, ἡ|the earth (geopolitics)
γινώσκω|I come to know, learn, know, realize
γυνή, γυναικός, ἡ|a woman, wife (misogynist, a woman-hater [μισέω])
δίδωμι|I give (antidote)
δύναμαι|I am powerful, able (cf. dynamite)
ἐάν|if
ἑαυτοῦ|of himself
εἰ|if
εἶδον|I saw (idea)
εἷς, μία, ἕν|one (henotheism, belief in one God without asserting that he is the only God)
ἐκεῖνος, -η, -ο|that
ἐξέρχομαι|I go out
ἤ|or
ἡμέρα, -ας, ἡ|a day (ephemeral, for [ἐϕ’ (= ἐπί)] a day)
θέλω|I will, wish, desire (Monothelite, one who holds that Christ has but one will, the divine; condemned by the Sixth General Council, A.D. 680)
λαλέω|I speak (cf. glossolalia, the gift of speaking in tongues [1 Cor. 14])
λαμβάνω|I take, receive (epilepsy, a taking or seizing upon)
λόγος, -ου, ὁ|a word, the Word (logic)
μαθητής, -οῦ, ὁ|a disciple
μετά|with the gen., with; with the acc., after (metaphysics, beyond or after [Aristotle’s treatise on] physics)
οἶδα|I know
ὄνομα, -ατος, τό|a name (onomatopoeia, making [ποιεῖν] a name or word [in imitation of natural sounds], as ‘buzz’)
οὐδείς, οὐδεμία, οὐδέν|no one, none, nothing, no
oὖv|therefore, then, accordingly
οὐρανός, -οῦ, ὁ|heaven (the planet Uranus; the element uranium)
οὕτως|thus
πατήρ, πατρός, ὁ|father (akin to paternal)
περί|with the gen., concerning, about; with the acc., around (perimeter, measure around)
πιστεύω|I have faith (in), believe
πίστις, -εως, ἡ|faith, belief, trust
